[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/django/db/models/fields/related.py first seen with mtime 1647540508.0685062
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/asyncio/log.py first seen with mtime 1620062243.0
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/ipaddress.py first seen with mtime 1620062241.0
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/jinja2/async_utils.py first seen with mtime 1639175004.523569
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/spacy/__init__.py first seen with mtime 1639177569.6067586
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/requests/adapters.py first seen with mtime 1639175004.4245865
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/django/db/utils.py first seen with mtime 1647540508.052983
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/django/db/models/fields/json.py first seen with mtime 1647540508.0679576
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/thinc/layers/add.py first seen with mtime 1639175004.2615082
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/certifi/__init__.py first seen with mtime 1639175004.145863
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/django/db/backends/sqlite3/schema.py first seen with mtime 1647540508.0610845
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/numpy/ma/__init__.py first seen with mtime 1639175002.3518612
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/charset_normalizer/__init__.py first seen with mtime 1639175004.126086
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/urllib3/response.py first seen with mtime 1639175003.7017612
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/django/db/backends/base/schema.py first seen with mtime 1647540508.054957
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/numpy/lib/arraysetops.py first seen with mtime 1639175002.5353324
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/spacy/cli/project/dvc.py first seen with mtime 1639177569.6279345
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/django/utils/version.py first seen with mtime 1647540508.1009872
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/srsly/ruamel_yaml/resolver.py first seen with mtime 1639175003.7777812
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/numpy/lib/twodim_base.py first seen with mtime 1639175002.5320823
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/numpy/core/_multiarray_tests.cpython-39-darwin.so first seen with mtime 1639175002.3288445
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/django/core/checks/files.py first seen with mtime 1647540508.04158
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/django/contrib/sites/shortcuts.py first seen with mtime 1647540508.0055199
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/django/core/servers/__init__.py first seen with mtime 1647540508.0523512
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/numpy/random/__init__.py first seen with mtime 1639175002.5490077
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/stat.py first seen with mtime 1620062241.0
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/github/modifiedDibels/dibels_test/models.py first seen with mtime 1649640621.9663377
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/django/db/models/sql/query.py first seen with mtime 1647540508.0714338
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/pyparsing/helpers.py first seen with mtime 1639175003.9334028
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/django/template/smartif.py first seen with mtime 1647540508.089651
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/asyncio/trsock.py first seen with mtime 1620062243.0
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/django/core/files/__init__.py first seen with mtime 1647540508.0432503
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/idna/idnadata.py first seen with mtime 1639175004.0723388
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/numpy/core/shape_base.py first seen with mtime 1639175002.324954
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/pydantic/parse.cpython-39-darwin.so first seen with mtime 1639175003.9900165
